index,time1,time2,group
1,1464637504,1464637564,d1
1,1464637592,1464637652,d1
1,1464638076,1464638136,d1
1,1464638516,1464638576,d1
1,1464638824,1464638884,d1
1,1464639166,1464639226,d1
1,1464639308,1464639368,d1
1,1464639784,1464639844,d1
1,1464639880,1464639940,d1
1,1464640452,1464640512,d1
1,1464641332,1464641392,d1
1,1464641672,1464641732,d1
1,1464641816,1464641876,d1
1,1464642023,1464642083,d1
1,1464642124,1464642184,d1
1,1464642398,1464642458,d1
1,1464642460,1464642520,d1
1,1464642703,1464642763,d1
1,1464642899,1464642959,d1
1,1464643048,1464643108,d1
1,1464643092,1464643152,d1
1,1464643548,1464643608,d1
1,1464643576,1464643636,d1
1,1464644858,1464644918,d1
1,1464646920,1464646980,d1
1,1464646968,1464647028,d1
1,1464647307,1464647367,d1
1,1464647428,1464647488,d1
1,1464648068,1464648128,d1
1,1464649956,1464650016,d1
1,1464651540,1464651600,d1
1,1464651716,1464651776,d1
1,1464651848,1464651908,d1
1,1464652024,1464652084,d1
1,1464654426,1464654486,d1
1,1464654594,1464654654,d1
1,1464654762,1464654822,d1
1,1464654888,1464654948,d1
1,1464654930,1464654990,d1
1,1464655896,1464655956,d1
1,1464656072,1464656132,d1
1,1464656116,1464656176,d1
1,1464656556,1464656616,d1
1,1464659651,1464659711,d1
1,1464660054,1464660114,d1
1,1464668524,1464668584,d1
1,1464668568,1464668628,d1
1,1464669380,1464669440,d1
1,1464669584,1464669644,d1
1,1464679172,1464679232,d1
1,1464679347,1464679407,d1
1,1464679482,1464679542,d1
1,1464679707,1464679767,d1
1,1464679842,1464679902,d1
1,1464680035,1464680095,d1
1,1464680205,1464680265,d1
1,1464680337,1464680397,d1
1,1464681232,1464681292,d1
1,1464681358,1464681418,d1
1,1464681753,1464681813,d1
1,1464681917,1464681977,d1
1,1464682081,1464682141,d1
1,1464682286,1464682346,d1
1,1464682368,1464682428,d1
5,1464624096,1464624156,d1
5,1464624285,1464624345,d1
5,1464624445,1464624505,d1
5,1464624605,1464624665,d1
5,1464624725,1464624785,d1
5,1464626049,1464626109,d1
5,1464626396,1464626456,d1
5,1464626542,1464626602,d1
5,1464626665,1464626725,d1
5,1464627025,1464627085,d1
5,1464632392,1464632452,d1
5,1464632586,1464632646,d1
5,1464632754,1464632814,d1
5,1464632860,1464632920,d1
5,1464633735,1464633795,d1
5,1464633885,1464633945,d1
5,1464634084,1464634144,d1
5,1464634264,1464634324,d1
5,1464634624,1464634684,d1
5,1464634759,1464634819,d1
5,1464634849,1464634909,d1
5,1464644096,1464644156,d1
5,1464645245,1464645305,d1
5,1464645404,1464645464,d1
5,1464645448,1464645508,d1
5,1464645919,1464645979,d1
5,1464646099,1464646159,d1
5,1464646279,1464646339,d1
5,1464646414,1464646474,d1
5,1464646459,1464646519,d1
5,1464650008,1464650068,d1
5,1464650162,1464650222,d1
5,1464650329,1464650389,d1
5,1464650577,1464650637,d1
5,1464654686,1464654746,d1
5,1464654886,1464654946,d1
5,1464655999,1464656059,d1
5,1464659361,1464659421,d1
5,1464659535,1464659595,d1
5,1464659579,1464659639,d1
5,1464660836,1464660896,d1
5,1464660923,1464660983,d1
5,1464667114,1464667174,d1
5,1464667294,1464667354,d1
5,1464667474,1464667534,d1
5,1464669045,1464669105,d1
5,1464669165,1464669225,d1
5,1464670264,1464670324,d1
5,1464670444,1464670504,d1
5,1464670653,1464670713,d1
5,1464670804,1464670864,d1
5,1464670849,1464670909,d1
5,1464671524,1464671584,d1
5,1464671704,1464671764,d1
5,1464671839,1464671899,d1
5,1464672019,1464672079,d1
5,1464677234,1464677294,d1
5,1464678949,1464679009,d1
7,1464625713,1464625773,d1
7,1464625755,1464625815,d1
7,1464626049,1464626109,d1
7,1464626217,1464626277,d1
7,1464626385,1464626445,d1
7,1464626427,1464626487,d1
7,1464626728,1464626788,d1
7,1464626805,1464626865,d1
7,1464628935,1464628995,d1
7,1464628989,1464629049,d1
7,1464629283,1464629343,d1
7,1464629451,1464629511,d1
7,1464629493,1464629553,d1
7,1464631131,1464631191,d1
7,1464631887,1464631947,d1
7,1464632013,1464632073,d1
7,1464632223,1464632283,d1
7,1464632391,1464632451,d1
7,1464632547,1464632607,d1
7,1464632601,1464632661,d1
7,1464633584,1464633644,d1
7,1464633651,1464633711,d1
7,1464634113,1464634173,d1
7,1464634617,1464634677,d1
7,1464634701,1464634761,d1
7,1464634915,1464634975,d1
7,1464635110,1464635170,d1
7,1464635247,1464635307,d1
7,1464635961,1464636021,d1
7,1464636003,1464636063,d1
7,1464636823,1464636883,d1
7,1464637641,1464637701,d1
7,1464637683,1464637743,d1
7,1464639544,1464639604,d1
7,1464639547,1464639607,d1
7,1464641841,1464641901,d1
7,1464641883,1464641943,d1
7,1464642345,1464642405,d1
7,1464642902,1464642962,d1
7,1464643510,1464643570,d1
7,1464643563,1464643623,d1
7,1464646923,1464646983,d1
7,1464647469,1464647529,d1
7,1464649191,1464649251,d1
7,1464649233,1464649293,d1
7,1464649653,1464649713,d1
7,1464649832,1464649892,d1
7,1464649905,1464649965,d1
7,1464650451,1464650511,d1
7,1464650535,1464650595,d1
7,1464651165,1464651225,d1
7,1464655066,1464655126,d1
7,1464655083,1464655143,d1
7,1464660657,1464660717,d1
7,1464660854,1464660914,d1
7,1464660993,1464661053,d1
7,1464661203,1464661263,d1
7,1464661373,1464661433,d1
7,1464661497,1464661557,d1
7,1464663057,1464663117,d1
7,1464663261,1464663321,d1
7,1464663429,1464663489,d1
7,1464663471,1464663531,d1
7,1464663926,1464663986,d1
7,1464663975,1464664035,d1
7,1464664269,1464664329,d1
7,1464664311,1464664371,d1
7,1464664773,1464664833,d1
7,1464664947,1464665007,d1
7,1464665125,1464665185,d1
7,1464665613,1464665673,d1
7,1464665655,1464665715,d1
7,1464666369,1464666429,d1
7,1464666579,1464666639,d1
7,1464666747,1464666807,d1
7,1464666831,1464666891,d1
7,1464668339,1464668399,d1
7,1464668468,1464668528,d1
7,1464669099,1464669159,d1
7,1464671367,1464671427,d1
7,1464671451,1464671511,d1
7,1464671913,1464671973,d1
7,1464672174,1464672234,d1
7,1464676575,1464676635,d1
7,1464676737,1464676797,d1
7,1464676917,1464676977,d1
7,1464677037,1464677097,d1
7,1464678129,1464678189,d1
7,1464678213,1464678273,d1
7,1464678798,1464678858,d1
9,1464627295,1464627355,d1
9,1464627708,1464627768,d1
9,1464627872,1464627932,d1
9,1464629811,1464629871,d1
9,1464629874,1464629934,d1
9,1464630687,1464630747,d1
9,1464630730,1464630790,d1
9,1464630988,1464631048,d1
9,1464632906,1464632966,d1
9,1464635463,1464635523,d1
9,1464637782,1464637842,d1
9,1464637911,1464637971,d1
9,1464641523,1464641583,d1
9,1464642214,1464642274,d1
9,1464642394,1464642454,d1
9,1464642553,1464642613,d1
9,1464642726,1464642786,d1
9,1464642887,1464642947,d1
9,1464643074,1464643134,d1
9,1464643845,1464643905,d1
9,1464643974,1464644034,d1
9,1464644716,1464644776,d1
9,1464645983,1464646043,d1
9,1464647855,1464647915,d1
9,1464648529,1464648589,d1
9,1464650301,1464650361,d1
9,1464650469,1464650529,d1
9,1464650601,1464650661,d1
9,1464650805,1464650865,d1
9,1464651015,1464651075,d1
9,1464651183,1464651243,d1
9,1464652212,1464652272,d1
9,1464652359,1464652419,d1
9,1464652569,1464652629,d1
9,1464652611,1464652671,d1
9,1464653945,1464654005,d1
9,1464654081,1464654141,d1
9,1464654255,1464654315,d1
9,1464654417,1464654477,d1
9,1464654459,1464654519,d1
9,1464654753,1464654813,d1
9,1464654921,1464654981,d1
9,1464655047,1464655107,d1
9,1464655173,1464655233,d1
9,1464655383,1464655443,d1
9,1464655551,1464655611,d1
9,1464655911,1464655971,d1
9,1464658343,1464658403,d1
9,1464659430,1464659490,d1
9,1464660247,1464660307,d1
9,1464661140,1464661200,d1
9,1464662398,1464662458,d1
9,1464662524,1464662584,d1
9,1464662656,1464662716,d1
9,1464662859,1464662919,d1
9,1464663076,1464663136,d1
9,1464664010,1464664070,d1
9,1464664980,1464665040,d1
9,1464664998,1464665058,d1
9,1464667662,1464667722,d1
9,1464668826,1464668886,d1
9,1464669041,1464669101,d1
9,1464669213,1464669273,d1
9,1464669385,1464669445,d1
9,1464669428,1464669488,d1
9,1464670797,1464670857,d1
9,1464670965,1464671025,d1
9,1464671175,1464671235,d1
9,1464671301,1464671361,d1
9,1464671847,1464671907,d1
9,1464672015,1464672075,d1
9,1464672309,1464672369,d1
9,1464677435,1464677495,d1
17,1464613279,1464613339,d1
17,1464613455,1464613515,d1
17,1464613587,1464613647,d1
17,1464613763,1464613823,d1
17,1464613939,1464613999,d1
17,1464614071,1464614131,d1
17,1464614247,1464614307,d1
17,1464614379,1464614439,d1
17,1464614555,1464614615,d1
17,1464614687,1464614747,d1
17,1464614863,1464614923,d1
17,1464614995,1464615055,d1
17,1464615171,1464615231,d1
17,1464615347,1464615407,d1
17,1464615479,1464615539,d1
17,1464615655,1464615715,d1
17,1464615787,1464615847,d1
17,1464615963,1464616023,d1
17,1464616139,1464616199,d1
17,1464616315,1464616375,d1
17,1464616447,1464616507,d1
17,1464616623,1464616683,d1
17,1464616755,1464616815,d1
17,1464616931,1464616991,d1
17,1464617063,1464617123,d1
17,1464617239,1464617299,d1
17,1464617371,1464617431,d1
17,1464617591,1464617651,d1
17,1464617723,1464617783,d1
17,1464617899,1464617959,d1
17,1464618119,1464618179,d1
17,1464618295,1464618355,d1
17,1464618427,1464618487,d1
17,1464618603,1464618663,d1
17,1464618779,1464618839,d1
17,1464618911,1464618971,d1
17,1464619087,1464619147,d1
17,1464619219,1464619279,d1
17,1464619395,1464619455,d1
17,1464619571,1464619631,d1
17,1464619703,1464619763,d1
17,1464619879,1464619939,d1
17,1464620055,1464620115,d1
17,1464620187,1464620247,d1
17,1464620407,1464620467,d1
17,1464620539,1464620599,d1
17,1464620715,1464620775,d1
17,1464620891,1464620951,d1
17,1464621067,1464621127,d1
17,1464621199,1464621259,d1
17,1464621375,1464621435,d1
17,1464621551,1464621611,d1
17,1464621727,1464621787,d1
17,1464621859,1464621919,d1
17,1464622079,1464622139,d1
17,1464622211,1464622271,d1
17,1464622431,1464622491,d1
17,1464622563,1464622623,d1
17,1464622739,1464622799,d1
17,1464622915,1464622975,d1
17,1464623047,1464623107,d1
17,1464623223,1464623283,d1
17,1464623399,1464623459,d1
17,1464623531,1464623591,d1
17,1464623751,1464623811,d1
17,1464623927,1464623987,d1
17,1464624103,1464624163,d1
17,1464624147,1464624207,d1
17,1464627684,1464627744,d1
17,1464627711,1464627771,d1
17,1464627900,1464627960,d1
17,1464628063,1464628123,d1
17,1464628239,1464628299,d1
17,1464628540,1464628600,d1
17,1464628591,1464628651,d1
17,1464629307,1464629367,d1
