index,time1,time2
1,1464637504,1464637564
1,1464637592,1464637652
1,1464638076,1464638136
1,1464638516,1464638576
1,1464638824,1464638884
1,1464639166,1464639226
1,1464639308,1464639368
1,1464639784,1464639844
1,1464639880,1464639940
1,1464640452,1464640512
1,1464641332,1464641392
1,1464641672,1464641732
1,1464641816,1464641876
1,1464642023,1464642083
1,1464642124,1464642184
1,1464642398,1464642458
1,1464642460,1464642520
1,1464642703,1464642763
1,1464642899,1464642959
1,1464643048,1464643108
1,1464643092,1464643152
1,1464643548,1464643608
1,1464643576,1464643636
1,1464644858,1464644918
1,1464646920,1464646980
1,1464646968,1464647028
1,1464647307,1464647367
1,1464647428,1464647488
1,1464648068,1464648128
1,1464649956,1464650016
1,1464651540,1464651600
1,1464651716,1464651776
1,1464651848,1464651908
1,1464652024,1464652084
1,1464654426,1464654486
1,1464654594,1464654654
1,1464654762,1464654822
1,1464654888,1464654948
1,1464654930,1464654990
1,1464655896,1464655956
1,1464656072,1464656132
1,1464656116,1464656176
1,1464656556,1464656616
1,1464659651,1464659711
1,1464660054,1464660114
1,1464668524,1464668584
1,1464668568,1464668628
1,1464669380,1464669440
1,1464669584,1464669644
1,1464679172,1464679232
1,1464679347,1464679407
1,1464679482,1464679542
1,1464679707,1464679767
1,1464679842,1464679902
1,1464680035,1464680095
1,1464680205,1464680265
1,1464680337,1464680397
1,1464681232,1464681292
1,1464681358,1464681418
1,1464681753,1464681813
1,1464681917,1464681977
1,1464682081,1464682141
1,1464682286,1464682346
1,1464682368,1464682428
1,1464722090,1464722150
1,1464726957,1464727017
1,1464727095,1464727155
1,1464729380,1464729440
1,1464730126,1464730186
1,1464730298,1464730358
1,1464730470,1464730530
1,1464730556,1464730616
1,1464730771,1464730831
1,1464730814,1464730874
1,1464731128,1464731188
1,1464731312,1464731372
1,1464731481,1464731541
1,1464731604,1464731664
1,1464731809,1464731869
1,1464732100,1464732160
1,1464737170,1464737230
1,1464737342,1464737402
1,1464737514,1464737574
1,1464737686,1464737746
1,1464737858,1464737918
1,1464737987,1464738047
1,1464738030,1464738090
1,1464738636,1464738696
1,1464739756,1464739816
1,1464739926,1464739986
1,1464740014,1464740074
1,1464740359,1464740419
1,1464743535,1464743595
1,1464746993,1464747053
1,1464747128,1464747188
1,1464747353,1464747413
1,1464747868,1464747928
1,1464747912,1464747972
1,1464749368,1464749428
1,1464749588,1464749648
1,1464749676,1464749736
1,1464749942,1464750002
1,1464750033,1464750093
1,1464754319,1464754379
1,1464754491,1464754551
1,1464756475,1464756535
1,1464756639,1464756699
1,1464757063,1464757123
1,1464757192,1464757252
1,1464769291,1464769351
1,1464808948,1464809008
1,1464809109,1464809169
1,1464809319,1464809379
1,1464809487,1464809547
1,1464809697,1464809757
1,1464809781,1464809841
1,1464810338,1464810398
1,1464810685,1464810745
1,1464810841,1464810901
1,1464811051,1464811111
1,1464811220,1464811280
1,1464811398,1464811458
1,1464813191,1464813251
1,1464813571,1464813631
1,1464813613,1464813673
1,1464816076,1464816136
1,1464816249,1464816309
1,1464816329,1464816389
1,1464816589,1464816649
1,1464816737,1464816797
1,1464816782,1464816842
1,1464817053,1464817113
1,1464817139,1464817199
1,1464817422,1464817482
1,1464817622,1464817682
1,1464817702,1464817762
1,1464819675,1464819735
1,1464819717,1464819777
1,1464820205,1464820265
1,1464820334,1464820394
1,1464822891,1464822951
