id,total,total_night,total_day
1,1320,0,0
2,4800,720,660
3,9600,4320,0
4,742,442,0
5,2280,180,180
6,4500,480,1200
7,780,0,420
8,2820,660,360
9,3420,420,600
10,600,360,60
1,1320,0,0
2,4800,720,660
3,9600,4320,0
4,742,442,0
5,2280,180,180
6,4500,480,1200
7,780,0,420
8,2820,660,360
9,3420,420,600
10,600,360,60
11,5760,540,1620
12,420,0,360
14,2220,240,300
15,960,60,300
16,5760,840,1800
17,3540,720,1080
18,1080,120,0
19,7020,420,2280
20,1860,300,720
21,2460,180,840
22,2940,360,1380
23,60,60,0
24,180,120,0
25,13860,3960,6780
27,4320,300,1260
29,960,0,420
30,360,60,60
32,1860,480,720
33,900,60,240
34,420,60,0
36,1200,1140,0
37,6240,0,2520
38,3360,960,480
39,840,120,180
40,1020,0,60
41,360,0,120
42,5640,1380,1620
43,180,60,60
44,300,240,0
45,5040,2580,240
47,3900,1020,1200
51,6600,1680,1260
52,4260,1140,1020
53,1920,960,600
54,1140,0,360
55,420,0,0
56,2580,1020,60
57,900,240,360
58,180,0,0
59,1080,180,180
60,2700,420,1260
61,9123,2103,180
63,17580,5700,4020
64,720,180,0
65,1500,0,600
66,2820,1800,540
67,1260,0,300
69,780,0,480
70,6780,1620,1740
71,2640,180,780
72,2280,0,60
73,1620,60,480
75,180,0,120
76,3840,240,1860
77,180,0,0
80,720,0,540
81,480,0,360
82,6000,0,3720
83,1380,60,0
85,2580,840,180
86,4680,420,2040
87,2040,120,1440
88,180,0,60
89,14231,3371,3660
90,1500,0,180
91,3000,420,420
92,2100,480,540
93,540,120,60
96,1800,840,360
97,2640,0,1620
98,6960,1500,780
99,1080,120,660
101,900,0,240
102,1380,0,480
103,20460,7200,3660
104,480,0,120
105,1680,1320,180
106,1080,60,60
107,240,0,60
109,4740,2280,60
110,1680,720,840
111,1080,0,720
112,720,0,180
113,4260,900,240
114,4740,420,1440
116,1500,720,480
117,960,540,60
118,240,0,120
119,4680,60,360
120,660,120,0
121,3780,1320,0
123,1877,0,480
124,15780,4080,2520
127,1140,300,600
129,4320,60,840
131,28140,7500,7440
132,3540,0,1620
133,3300,1380,240
134,120,0,0
135,720,240,0
136,2040,180,780
137,6660,6360,0
139,2700,1020,300
140,1740,660,480
141,2640,0,900
142,1260,240,240
143,5520,1680,300
144,2220,600,420
145,480,0,300
146,11760,2040,4260
147,900,540,0
148,180,0,120
150,960,60,360
151,3720,540,540
152,5820,1860,1740
153,6120,1800,1740
154,7048,0,2220
155,1140,180,120
156,1380,0,600
157,2160,1020,240
158,120,0,0
159,2520,180,1140
161,7080,0,1620
162,1200,480,300
163,240,60,120
164,5100,60,1500
165,3360,1200,0
168,360,300,0
