index,time2,
1,1459820731,1459820731
1,1459820903,1459820903
1,1459820989,1459820989
1,1459823277,1459823277
1,1459823409,1459823409
1,1459823556,1459823556
1,1459823812,1459823812
1,1459823988,1459823988
1,1459824396,1459824396
1,1459888039,1459888039
1,1459888083,1459888083
1,1459890899,1459890899
1,1459891148,1459891148
1,1459891251,1459891251
1,1459893840,1459893840
1,1459893975,1459893975
1,1459894110,1459894110
1,1459894297,1459894297
1,1459894383,1459894383
1,1459894567,1459894567
1,1459894815,1459894815
1,1459894903,1459894903
2,1459812150,1459812150
2,1459812324,1459812324
2,1459812493,1459812493
2,1459812676,1459812676
2,1459812808,1459812808
2,1459815263,1459815263
2,1459816270,1459816270
2,1459816434,1459816434
2,1459821517,1459821517
2,1459821707,1459821707
2,1459822075,1459822075
2,1459822379,1459822379
2,1459822584,1459822584
2,1459822707,1459822707
2,1459824225,1459824225
2,1459825459,1459825459
2,1459825541,1459825541
2,1459826140,1459826140
2,1459826184,1459826184
2,1459826624,1459826624
2,1459826668,1459826668
2,1459826888,1459826888
2,1459827329,1459827329
2,1459827492,1459827492
2,1459828571,1459828571
2,1459828692,1459828692
2,1459828736,1459828736
2,1459829416,1459829416
2,1459829536,1459829536
2,1459832134,1459832134
2,1459832175,1459832175
2,1459833442,1459833442
2,1459833793,1459833793
2,1459833832,1459833832
2,1459834437,1459834437
2,1459835790,1459835790
2,1459836402,1459836402
2,1459838240,1459838240
2,1459840488,1459840488
2,1459840611,1459840611
2,1459841122,1459841122
2,1459842415,1459842415
2,1459842458,1459842458
2,1459872976,1459872976
2,1459873170,1459873170
2,1459873210,1459873210
2,1459874087,1459874087
2,1459874131,1459874131
2,1459874513,1459874513
2,1459879105,1459879105
2,1459879402,1459879402
2,1459879490,1459879490
2,1459880559,1459880559
2,1459881921,1459881921
2,1459882762,1459882762
2,1459883214,1459883214
2,1459884533,1459884533
2,1459886405,1459886405
2,1459886493,1459886493
2,1459886757,1459886757
2,1459886845,1459886845
2,1459887718,1459887718
2,1459887763,1459887763
2,1459888747,1459888747
2,1459888945,1459888945
2,1459888986,1459888986
2,1459889235,1459889235
2,1459889443,1459889443
2,1459890597,1459890597
2,1459891144,1459891144
2,1459891276,1459891276
2,1459891364,1459891364
2,1459891975,1459891975
2,1459892652,1459892652
2,1459894747,1459894747
2,1459894919,1459894919
2,1459895159,1459895159
2,1459895305,1459895305
2,1459895477,1459895477
2,1459895781,1459895781
3,1459810850,1459810850
3,1459811026,1459811026
3,1459811246,1459811246
3,1459811378,1459811378
3,1459811554,1459811554
3,1459811684,1459811684
3,1459811816,1459811816
3,1459812168,1459812168
3,1459812344,1459812344
3,1459812520,1459812520
3,1459812675,1459812675
3,1459812757,1459812757
3,1459813044,1459813044
3,1459813210,1459813210
3,1459813331,1459813331
3,1459813936,1459813936
3,1459813976,1459813976
3,1459814447,1459814447
3,1459814947,1459814947
3,1459815062,1459815062
3,1459815431,1459815431
3,1459815636,1459815636
3,1459817505,1459817505
3,1459817686,1459817686
3,1459817809,1459817809
3,1459819765,1459819765
3,1459819900,1459819900
3,1459820023,1459820023
3,1459821909,1459821909
3,1459821991,1459821991
3,1459822215,1459822215
3,1459822257,1459822257
3,1459825809,1459825809
3,1459825895,1459825895
3,1459826482,1459826482
3,1459826570,1459826570
3,1459830488,1459830488
3,1459830804,1459830804
3,1459830930,1459830930
3,1459831140,1459831140
3,1459831312,1459831312
3,1459831463,1459831463
3,1459831645,1459831645
3,1459831812,1459831812
3,1459831978,1459831978
3,1459832126,1459832126
3,1459832315,1459832315
3,1459832470,1459832470
3,1459832634,1459832634
3,1459832798,1459832798
3,1459833003,1459833003
3,1459833156,1459833156
3,1459833282,1459833282
3,1459833454,1459833454
3,1459833618,1459833618
3,1459833786,1459833786
3,1459833954,1459833954
3,1459834080,1459834080
3,1459834269,1459834269
3,1459834458,1459834458
3,1459834592,1459834592
3,1459834797,1459834797
3,1459834962,1459834962
3,1459835104,1459835104
3,1459835256,1459835256
3,1459835424,1459835424
3,1459835634,1459835634
3,1459835802,1459835802
3,1459835970,1459835970
3,1459836138,1459836138
3,1459836264,1459836264
